,FIPS,Week_Mon,RCIR,RPVR_lag1,RCPSR_lag1,RBVR_lag1,RGP_lag1,RWTR_lag1,RPI_16_Weeks_lag3,RPI_12_Weeks_lag3,RPI_20_Weeks_lag3,RPI_24_Weeks_lag3,RUV_lag1,RFSRV_lag1,RGSV_lag1,RGV_lag1,RROV_lag1,ROPV_lag1,over_65,Black,medicaid_spending,health_care_spending,poverty_rate,SVI,HAQI,rep_voters,Adults_at_high_risk,Dominant_variant
2405,56,2021-07-26,1.2443039031265464,0.7531817336129789,0.7580337310388691,,0.9923592498172547,1.0366054280121693,1.0263304433144587,1.3743199251099119,0.9357350277398867,0.8335849549699272,1.59365761828454,0.866709223986451,1.1716319766534649,0.8095229236265558,0.9728360567159612,1.0796955893561284,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2406,56,2021-08-02,1.1023528475084066,0.7527956473879456,0.7576428654184919,,0.9883449769818322,0.9493582859051631,1.1001911855083824,1.5692834809512497,0.9730445128242358,0.876261303140778,1.6165858422236712,0.8733049554065521,1.1749875611480167,0.8073183610983716,0.9668180138764692,1.0853137189066606,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2407,56,2021-08-09,1.105825216531294,0.7505993842688932,0.7563460652698041,,0.9911647204850512,0.8937199680449273,1.1769652638170391,1.675481350452515,1.012136263385403,0.9165695293456729,1.6549102184414184,0.8783260663683012,1.1655135783066555,0.7934196332412299,0.9593665317721531,1.082029007382675,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2408,56,2021-08-16,1.2058383304875515,0.7515474967150171,0.7567363017188785,,0.9969117034940236,0.8754701227171201,1.2349343881903059,1.6550818681061001,1.0367644302264316,0.9580537023128403,1.6690482092256866,0.8807948757828475,1.1480436970648364,0.7657498077053865,0.9579820767120931,1.0676598293283734,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2409,56,2021-08-23,1.3306137602693195,0.7549775796012758,0.7570173265980469,,0.9786019041409795,0.9340384740225987,1.29552544868642,1.573892728549059,1.0696382137389975,0.9894786612513977,1.6322682874676282,0.8808587985900541,1.1385847112086804,0.7445272749855009,0.9472929105676748,1.0567537510338665,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2410,56,2021-08-30,1.5110910011868992,0.7595506373413872,0.7569997267911113,,0.945806117205823,0.9970701038453788,1.3434588255628286,1.4788636102139214,1.1110862954692209,1.018905547161052,1.5613906715210288,0.8806807016426157,1.1377137305084268,0.7321525418026774,0.9315464744037624,1.0484992051739606,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2411,56,2021-09-06,1.6329324599118662,0.7637127142231426,0.7585020282995218,,0.9244940770709836,1.0975405027111769,1.3819110139337931,1.4241813210413503,1.1758314698246466,1.0695800075736612,1.482948140090021,0.8794370653195387,1.1322299599812176,0.7288673986067966,0.9085722749015892,1.0527106486431943,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2412,56,2021-09-13,1.7491737851307294,0.7695659971579111,0.7625660613643298,,0.9165666182850613,1.1488867881104754,1.4274983158406438,1.4121033361034296,1.2595122012215738,1.1351117731148117,1.4227903972404,0.8752682829907982,1.1175180473761392,0.7230742417352113,0.8918006197142626,1.0524257771037364,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2413,56,2021-09-20,1.8611716937623168,0.7746567909748342,0.7652434675529911,,0.9207988943967473,1.1507922784919487,1.493551034470065,1.4483960849497317,1.3697714163391819,1.224633788029035,1.3633307512335238,0.8659438298852971,1.0995365931576235,0.7140910299134904,0.8713067495686962,1.0497113721707838,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2414,56,2021-09-27,1.9463430830994177,0.7786347149044472,0.7671045778706579,,0.918293975602177,1.0902812636293449,1.5253575056214486,1.4734448046580126,1.451047016953356,1.296315087851095,1.3047179251028076,0.8540869802227046,1.0902981842911899,0.6991103333584389,0.8572494523407735,1.0296516902674793,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2415,56,2021-10-04,2.0301095770154745,0.781530145010218,0.7692771741518194,,0.9231856322685117,1.0538198011297515,1.5602194719514737,1.5093322764913542,1.5243990287434652,1.3797196231748898,1.2447243002322144,0.8445523753975558,1.0847200965297612,0.6847627054878905,0.851996864129394,1.010931810348144,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2416,56,2021-10-11,2.066226615550663,0.7841657921366565,0.7723066336507517,,0.9261382903502414,0.9799402214646513,1.6062511523190475,1.5589939307302783,1.60076139554531,1.4736116715726373,1.195729980083496,0.8394796129629954,1.078575128131174,0.672744292529299,0.8573377577545181,0.9972184296863493,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2417,56,2021-10-18,2.212678499701859,0.7874112849229551,0.776764576586311,,0.9232203167392941,0.967843395953634,1.6289082246815398,1.5903225078650067,1.6465800086337026,1.5490227643621859,1.1631144026986522,0.8354562286832137,1.0614304110729242,0.6657257740449775,0.8633960779419694,0.999514894594697,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2418,56,2021-10-25,2.319254541678747,0.7893646278175791,0.7798461101775114,0.970942540838997,0.9249828385535669,0.9390486707693818,1.6546641812355516,1.625769600205161,1.681012888915967,1.616345053920319,1.1429838973541062,0.8290267157691406,1.0439714329855154,0.6627296024932415,0.8609842917367629,1.0030303026502267,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2419,56,2021-11-01,2.2837023800818246,0.7925793228133117,0.7823796479290553,0.9519510146570945,0.9250168983661445,1.2393073238197807,1.6819194904281705,1.674988970066018,1.7118658806450857,1.6750663475742904,1.1328207800964676,0.8201878742162788,1.0281203641076235,0.661884649533594,0.8603193660326082,1.0036589194249181,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2420,56,2021-11-08,2.0735172533480037,0.7961685559992613,0.7840929638071282,0.9431124566018928,0.9245281879397287,1.383573387955814,1.714759674346002,1.7484338831868427,1.7450007807946548,1.733231593948473,1.1290425359287308,0.8144453759003061,1.0255912762151187,0.6669417259088224,0.8655761037062443,0.9979356408821493,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2421,56,2021-11-15,1.763911239739194,0.7965164093820869,0.7866576515357533,0.9581177142512466,0.935653844407228,1.3982184986891295,1.743600277474207,1.8230939967657296,1.768826083387974,1.7766928108016338,1.139100854955368,0.815103123768346,1.0256568137663453,0.6755931718195667,0.8816617373535827,0.9893937424479063,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2422,56,2021-11-22,1.4347819890962272,0.7966115470966469,0.7895223413117626,0.9406425645574482,0.938726445205309,1.09162873576133,1.7603900677647704,1.8867167175815194,1.7785138534535188,1.7955899903351775,1.1608678751530337,0.8218167185195536,1.02268503638733,0.6844603342498466,0.8943517826396868,0.9782082479585621,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
2423,56,2021-11-29,1.1375796791809591,0.7951008353736004,0.7911422101986404,0.9121662739307266,0.9446141620427998,0.8666276599551077,1.766084265241023,1.9284171325712562,1.7664200327207875,1.7878604987178985,1.1910730205225386,0.8261067573502873,1.0094543738643726,0.6907085642809995,0.9011915416561466,0.9722815388989534,0.1713649377374693,0.0129017432126325,1.025784917383574,0.0083903662837208,0.099,0.2764590757119975,87.7,0.7,0.364,Delta
