"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"60","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0421561966024703,0.0180473757867799,1.08228693284286,NA,NA,NA,NA,NA,NA,NA
"61","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0469751703654976,0.0183598972320025,1.08899313385128,NA,NA,NA,NA,NA,NA,NA
"62","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0518287247885581,0.0186987449623597,1.09569933485969,NA,NA,NA,NA,NA,NA,NA
"63","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0567161540656321,0.0190652808279961,1.1024055358681,NA,NA,NA,NA,NA,NA,NA
"64","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0616366592182387,0.0194608432557394,1.10911173687652,NA,NA,NA,NA,NA,NA,NA
"65","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0665893629533926,0.0198866963489447,1.11581793788493,NA,NA,NA,NA,NA,NA,NA
"66","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0715733396963377,0.0203439812436108,1.12252413889335,NA,NA,NA,NA,NA,NA,NA
"67","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0765876214667116,0.0208336853691831,1.12923033990176,NA,NA,NA,NA,NA,NA,NA
"68","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0816312157973671,0.0213566160863381,1.13593654091017,NA,NA,NA,NA,NA,NA,NA
"69","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0867030882488744,0.0219133907919718,1.14264274191859,NA,NA,NA,NA,NA,NA,NA
"70","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0918021640556001,0.02250442600166,1.149348942927,NA,NA,NA,NA,NA,NA,NA
"71","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0969273469325011,0.0231299304630119,1.15605514393541,NA,NA,NA,NA,NA,NA,NA
"72","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.102077517939451,0.0237899087106839,1.16276134494383,NA,NA,NA,NA,NA,NA,NA
"73","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.1072515475613,0.0244841679916366,1.16946754595224,NA,NA,NA,NA,NA,NA,NA
"74","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.112448299257211,0.0252123308811803,1.17617374696065,NA,NA,NA,NA,NA,NA,NA
"75","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.117666622554013,0.0259738502825516,1.18287994796907,NA,NA,NA,NA,NA,NA,NA
"76","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.12290535858596,0.0267680251948124,1.18958614897748,NA,NA,NA,NA,NA,NA,NA
"77","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.12816334552714,0.0275940181527082,1.1962923499859,NA,NA,NA,NA,NA,NA,NA
"78","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.133439422680531,0.0284508733948821,1.20299855099431,NA,NA,NA,NA,NA,NA,NA
"79","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.138732438354999,0.0293375357456124,1.20970475200272,NA,NA,NA,NA,NA,NA,NA
"80","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.14404125792418,0.0302528697870062,1.21641095301114,NA,NA,NA,NA,NA,NA,NA
"81","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.149364764613172,0.0311956771861516,1.22311715401955,NA,NA,NA,NA,NA,NA,NA
"82","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.154701854276978,0.0321647108108092,1.22982335502796,NA,NA,NA,NA,NA,NA,NA
"83","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.160051437451941,0.0331586882873699,1.23652955603638,NA,NA,NA,NA,NA,NA,NA
"84","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.165412438195155,0.0341763031891287,1.24323575704479,NA,NA,NA,NA,NA,NA,NA
"85","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.170783810110423,0.035216240117475,1.2499419580532,NA,NA,NA,NA,NA,NA,NA
"86","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.176164558582906,0.0362771925731574,1.25664815906162,NA,NA,NA,NA,NA,NA,NA
"87","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.181553715321071,0.0373578642045777,1.26335436007003,NA,NA,NA,NA,NA,NA,NA
"88","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.186950362219107,0.038456984614298,1.27006056107845,NA,NA,NA,NA,NA,NA,NA
"89","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.19235362435429,0.0395733139546921,1.27676676208686,NA,NA,NA,NA,NA,NA,NA
"90","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.19776268460529,0.0407056546545755,1.28347296309527,NA,NA,NA,NA,NA,NA,NA
"91","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.203176776264189,0.0418528537290028,1.29017916410369,NA,NA,NA,NA,NA,NA,NA
"92","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.208595157318576,0.0430137948551163,1.2968853651121,NA,NA,NA,NA,NA,NA,NA
"93","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.214017131879851,0.0441874096680337,1.30359156612051,NA,NA,NA,NA,NA,NA,NA
"94","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.219442043101543,0.0453726765170373,1.31029776712893,NA,NA,NA,NA,NA,NA,NA
"95","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.224869276792076,0.0465686234458337,1.31700396813734,NA,NA,NA,NA,NA,NA,NA
"96","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.230298279985096,0.0477743387212671,1.32371016914575,NA,NA,NA,NA,NA,NA,NA
"97","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.235728572566802,0.0489889786617735,1.33041637015417,NA,NA,NA,NA,NA,NA,NA
"98","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.241159755028234,0.0502117736923653,1.33712257116258,NA,NA,NA,NA,NA,NA,NA
"99","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.246591476469189,0.0514420126616191,1.343828772171,NA,NA,NA,NA,NA,NA,NA
"100","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.252023406560806,0.0526790269799922,1.35053497317941,NA,NA,NA,NA,NA,NA,NA
"101","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0303228401499808,0.0358965269165551,0.647541396860044,NA,NA,NA,NA,NA,NA,NA
"102","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0315978838335742,0.0348401161440134,0.65556135703703,NA,NA,NA,NA,NA,NA,NA
"103","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0328726939256555,0.0337865257981225,0.663581317214015,NA,NA,NA,NA,NA,NA,NA
"104","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0341470368347151,0.0327360571362028,0.671601277391001,NA,NA,NA,NA,NA,NA,NA
"105","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0354206788452647,0.0316890451367008,0.679621237567987,NA,NA,NA,NA,NA,NA,NA
"106","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0366933329967942,0.03064587126019,0.687641197744972,NA,NA,NA,NA,NA,NA,NA
"107","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0379645043962245,0.0296069907460885,0.695661157921958,NA,NA,NA,NA,NA,NA,NA
"108","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0392336183521462,0.0285729214336293,0.703681118098943,NA,NA,NA,NA,NA,NA,NA
"109","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0405000855056118,0.0275442433508971,0.711701078275929,NA,NA,NA,NA,NA,NA,NA
"110","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0417628630037918,0.0265216672903224,0.719721038452915,NA,NA,NA,NA,NA,NA,NA
"111","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0430198316510801,0.0255061246696073,0.7277409986299,NA,NA,NA,NA,NA,NA,NA
"112","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0442684041958492,0.0244986931149328,0.735760958806886,NA,NA,NA,NA,NA,NA,NA
"113","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0455058377738329,0.0235005673051056,0.743780918983871,NA,NA,NA,NA,NA,NA,NA
"114","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0467292137043982,0.0225130771445927,0.751800879160857,NA,NA,NA,NA,NA,NA,NA
"115","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0479353478895951,0.0215377169268676,0.759820839337843,NA,NA,NA,NA,NA,NA,NA
"116","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0491205025896978,0.0205761996038558,0.767840799514828,NA,NA,NA,NA,NA,NA,NA
"117","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0502799817745884,0.0196305218560798,0.775860759691814,NA,NA,NA,NA,NA,NA,NA
"118","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.051408207384714,0.0187029686931089,0.7838807198688,NA,NA,NA,NA,NA,NA,NA
"119","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0524988170873151,0.0177961165417617,0.791900680045785,NA,NA,NA,NA,NA,NA,NA
"120","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0535448715856481,0.0169128256384521,0.799920640222771,NA,NA,NA,NA,NA,NA,NA
"121","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0545388715437731,0.0160562533234851,0.807940600399756,NA,NA,NA,NA,NA,NA,NA
"122","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0554728326674993,0.0152298570451235,0.815960560576742,NA,NA,NA,NA,NA,NA,NA
"123","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0563383923917022,0.0144373875685434,0.823980520753728,NA,NA,NA,NA,NA,NA,NA
"124","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0571268393582869,0.0136828768535527,0.832000480930713,NA,NA,NA,NA,NA,NA,NA
"125","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0578292229011853,0.012970598418421,0.840020441107699,NA,NA,NA,NA,NA,NA,NA
"126","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0584364314794265,0.0123050012714623,0.848040401284684,NA,NA,NA,NA,NA,NA,NA
"127","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0589392181858995,0.0116906054966589,0.85606036146167,NA,NA,NA,NA,NA,NA,NA
"128","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0593282467470075,0.0111318414882983,0.864080321638656,NA,NA,NA,NA,NA,NA,NA
"129","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0595941677817999,0.0106328258572754,0.872100281815641,NA,NA,NA,NA,NA,NA,NA
"130","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.059727665783843,0.0101970786619798,0.880120241992627,NA,NA,NA,NA,NA,NA,NA
"131","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0597194932642281,0.00982719656553693,0.888140202169612,NA,NA,NA,NA,NA,NA,NA
"132","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0595605466749014,0.00952451850317954,0.896160162346598,NA,NA,NA,NA,NA,NA,NA
"133","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0592419798937587,0.00928884324571153,0.904180122523584,NA,NA,NA,NA,NA,NA,NA
"134","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0587552104327662,0.00911825877582117,0.912200082700569,NA,NA,NA,NA,NA,NA,NA
"135","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0580920454973676,0.00900913604357784,0.920220042877555,NA,NA,NA,NA,NA,NA,NA
"136","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0572446898075013,0.00895629915705949,0.92824000305454,NA,NA,NA,NA,NA,NA,NA
"137","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0562056673789691,0.00895333981926494,0.936259963231526,NA,NA,NA,NA,NA,NA,NA
"138","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0549679759224797,0.00899304196935316,0.944279923408512,NA,NA,NA,NA,NA,NA,NA
"139","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0535253583002744,0.009067851351694,0.952299883585497,NA,NA,NA,NA,NA,NA,NA
"140","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0518725428689887,0.00917031420681133,0.960319843762483,NA,NA,NA,NA,NA,NA,NA
"141","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0500052494934651,0.00929341364108873,0.968339803939469,NA,NA,NA,NA,NA,NA,NA
"142","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0479197504191477,0.00943074996478263,0.976359764116454,NA,NA,NA,NA,NA,NA,NA
"143","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0456128190301969,0.00957666352439695,0.98437972429344,NA,NA,NA,NA,NA,NA,NA
"144","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0430816678681979,0.00972628526096007,0.992399684470425,NA,NA,NA,NA,NA,NA,NA
"145","model_1_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,0.0403238518297145,0.00987553257110691,1.00041964464741,NA,NA,NA,NA,NA,NA,NA
