,V1
222,-0.0253970331109493
223,-0.0341673834646992
224,-0.0430269912737458
225,-0.0519784334753065
226,-0.0610238099505456
227,-0.0701644292024128
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,0.157641271593017
242,0.148890706252576
243,0.140204682301576
244,0.131591614796486
245,0.123056780210612
246,0.114602013499958
247,0.106230499264608
248,0.0979389722845642
249,0.0897103293126891
250,0.081523893135289
251,0.0733604509553526
252,0.0652002098486476
253,0.0570258515686078
254,0.0488238336104213
255,0.0405844891079512
256,0.0322954444349038
257,0.023943031806458
258,0.0155168248442227
259,0.00700827418057755
260,-0.00158898032060635
261,-0.0102797714953317
262,-0.0190677721034119
263,-0.0279557158262772
264,-0.0369455720101218
265,-0.0460386800918706
266,-0.0552358005724113
267,-0.0645371172305557
268,-0.0739422535052713
269,-0.0834503142620232
270,-0.0930599406827142
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,0.163913436565322
282,0.155339700480083
283,0.146824140570227
284,0.138370640046675
285,0.129979447774859
286,0.121649298387156
287,0.113377693733817
288,0.10515867539498
289,0.0969805560563858
290,0.0888289887598578
291,0.0806872669423479
292,0.0725346847007162
293,0.0643537484571636
294,0.0561309952251297
295,0.0478557132342852
296,0.0395140499752185
297,0.0310929345333734
298,0.0225821397090129
299,0.0139740467603012
300,0.00526301983833243
301,-0.00355507409681478
302,-0.0124831830997049
303,-0.021523274912894
304,-0.0306764752546084
305,-0.0399431698005609
306,-0.0493230842628173
307,-0.0588153498996051
308,-0.0684185602189113
309,-0.0781308246940893
310,-0.0879498254300022
311,-0.0978728801042853
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,0.170360915921518
322,0.161978925377208
323,0.153646444603415
324,0.145362823531919
325,0.137124915848944
326,0.128928356564909
327,0.120767657777399
328,0.112635726619679
329,0.104521967019897
330,0.0964133454940625
331,0.0882933219029833
332,0.0801442780916328
333,0.0719496021591668
334,0.0636937809196276
335,0.0553620628260681
336,0.046941748304192
337,0.0384224238075896
338,0.029796088659627
339,0.0210574625786602
340,0.0122024454499651
341,0.00322784000634741
342,-0.00586861160211911
343,-0.0150882077389974
344,-0.0244313065078204
345,-0.0338973985897704
346,-0.0434852221779245
347,-0.0531928883814574
348,-0.0630179797707649
349,-0.0729575974661805
350,-0.0830083924179433
351,-0.0931666544722193
352,-0.103428437358235
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,0.176677272548473
362,0.168480929810393
363,0.16032400106765
364,0.152203420841539
365,0.144114284195285
366,0.13605033254683
367,0.128003614736364
368,0.119964005501827
369,0.111919079508692
370,0.103855061153416
371,0.0957568064230371
372,0.0876087100167891
373,0.0793949427665571
374,0.0710986141702313
375,0.0627026114284591
376,0.0541944729983017
377,0.0455666839489969
378,0.0368138152943509
379,0.027933107626271
380,0.018922041198311
381,0.00977818601860731
382,0.000499700161712108
383,-0.00891417542812591
384,-0.0184628604022676
385,-0.0281445690883372
386,-0.0379566383652725
387,-0.0478958232636816
388,-0.0579585511673956
389,-0.0681411524708661
390,-0.0784389658079345
391,-0.0888469145076049
392,-0.0993600336899036
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,0.182547281712645
402,0.174516417800519
403,0.166514221937891
404,0.158536084842598
405,0.150575912270581
406,0.142625987077269
407,0.134676768408996
408,0.126716610806721
409,0.118731930673743
410,0.110707843284063
411,0.102629169745845
412,0.0944802859809593
413,0.0862465526561971
414,0.0779106768480125
415,0.0694526741114295
416,0.0608585810939151
417,0.052126596794331
418,0.0432536126673891
419,0.0342378525623743
420,0.0250776276184384
421,0.0157705426116502
422,0.00631337736142358
423,-0.0032955163812856
424,-0.0130533232528796
425,-0.0229556992124433
426,-0.0329979855326572
427,-0.0431752369658829
428,-0.0534822758143667
429,-0.0639136796010155
430,-0.0744637015070775
431,-0.0851263788813414
432,-0.0958957289304864
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,0.187692502546124
442,0.179797162113618
443,0.171920111050428
444,0.164055490552482
445,0.156195958746174
446,0.148332596024158
447,0.140454826937437
448,0.132550334792799
449,0.124604947624164
450,0.116602844122173
451,0.108527539368252
452,0.100364077667984
453,0.0920985400265978
454,0.0837149518136427
455,0.0751962462272565
456,0.0665321766731847
457,0.0577167755993878
458,0.0487419688726544
459,0.0396069393169919
460,0.0303134375834958
461,0.0208595942228702
