"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"61","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0543770003530945,0.0178297620943883,1.08748392310155,NA,NA,NA,NA,NA,NA,NA
"62","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0584387407834652,0.0184389738295955,1.09416497059747,NA,NA,NA,NA,NA,NA,NA
"63","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0625005047525418,0.0190704612456687,1.10084601809338,NA,NA,NA,NA,NA,NA,NA
"64","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0665622915272088,0.0197220883095192,1.1075270655893,NA,NA,NA,NA,NA,NA,NA
"65","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0706241003148299,0.0203919279900708,1.11420811308522,NA,NA,NA,NA,NA,NA,NA
"66","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0746859302880038,0.0210782475361853,1.12088916058114,NA,NA,NA,NA,NA,NA,NA
"67","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0787477805909243,0.0217794924468709,1.12757020807706,NA,NA,NA,NA,NA,NA,NA
"68","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0828096503514129,0.0224942701618141,1.13425125557298,NA,NA,NA,NA,NA,NA,NA
"69","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.086871538677848,0.023221334167334,1.14093230306889,NA,NA,NA,NA,NA,NA,NA
"70","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.090933444655687,0.0239595689419515,1.14761335056481,NA,NA,NA,NA,NA,NA,NA
"71","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0949953673599314,0.0247079759847578,1.15429439806073,NA,NA,NA,NA,NA,NA,NA
"72","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.0990573058580039,0.025465661041625,1.16097544555665,NA,NA,NA,NA,NA,NA,NA
"73","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.103119259213715,0.0262318225503335,1.16765649305257,NA,NA,NA,NA,NA,NA,NA
"74","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.107181226491272,0.0270057412717383,1.17433754054848,NA,NA,NA,NA,NA,NA,NA
"75","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.111243206760805,0.0277867710404108,1.1810185880444,NA,NA,NA,NA,NA,NA,NA
"76","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.11530519910206,0.028574330549064,1.18769963554032,NA,NA,NA,NA,NA,NA,NA
"77","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.119367202608373,0.0293678960738497,1.19438068303624,NA,NA,NA,NA,NA,NA,NA
"78","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.123429216390835,0.0301669950466362,1.20106173053216,NA,NA,NA,NA,NA,NA,NA
"79","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.127491239586658,0.0309712003853412,1.20774277802808,NA,NA,NA,NA,NA,NA,NA
