,V1
621,0.0340359319512693
622,0.0238461727089316
623,0.0134453198432259
624,0.00282286244633827
625,-0.00801772660002162
626,-0.0190638149066771
627,-0.0303066228507351
628,-0.0417325265130877
629,-0.0533274376275559
630,-0.0650784609398826
631,-0.0769734438690779
632,-0.0890005469052897
633,-0.101147321702626
634,-0.113400634673937
635,-0.125747769074992
636,NA
637,NA
638,NA
639,NA
640,NA
641,NA
642,NA
643,NA
644,NA
645,NA
646,NA
647,NA
648,0.153060042791451
649,0.145011284228243
650,0.136866840179173
651,0.128607486165564
652,0.120211702701996
653,0.11165910484133
654,0.102933421053225
655,0.0940238161488204
656,0.0849259046760273
657,0.0756353615719389
658,0.0661434662579882
659,0.0564442654062159
660,0.0465411222395307
661,0.0364338819582598
662,0.0261198793473621
663,0.0155952546734766
664,0.00485709099223296
665,-0.0060940284811466
666,-0.0172538374167603
667,-0.0286153956255353
668,-0.040167768290799
669,-0.0518980889330503
670,-0.0637933340240739
671,-0.0758406536353541
672,-0.0880277301845847
673,-0.100339770572019
674,-0.112759880234614
675,-0.125272743985769
676,NA
677,NA
678,NA
679,NA
680,NA
681,NA
682,NA
683,NA
684,NA
685,NA
686,NA
687,NA
688,0.15497359846653
689,0.146796005119769
690,0.138520519086578
691,0.13013145473049
692,0.121612649866889
693,0.112948218402206
694,0.104122322009063
695,0.0951181768366915
696,0.0859243962640789
697,0.0765335000975057
698,0.0669412432259905
699,0.0571419848687393
700,0.0471379385835393
701,0.036930608320543
702,0.0265181005493469
703,0.0158967105139893
704,0.00506233500161972
705,-0.0059862356005058
706,-0.0172450968989738
707,-0.0287090834110706
708,-0.0403704183312822
709,-0.0522184681904091
710,-0.0642400493566064
711,-0.0764203032713307
712,-0.088744884443884
713,-0.10119535528281
714,-0.113751939670197
715,-0.126397511828797
716,-0.139117209227095
717,-0.151898045453233
718,NA
719,NA
720,NA
721,NA
722,NA
723,NA
724,NA
725,NA
726,NA
727,NA
728,0.155234112755955
729,0.14689215556749
730,0.138451621998185
731,0.129899541338387
732,0.121222518837932
733,0.112406842955207
734,0.103438477627638
735,0.0943033775807983
736,0.084989208300249
737,0.0754855248038826
738,0.0657866318121695
739,0.0558898737390463
740,0.0457952932381514
741,0.0355027411122027
742,0.0250093979519247
743,0.0143090305450283
744,0.00339239862769431
745,-0.00774362750620092
746,-0.0190934957869129
747,-0.0306510005249348
748,-0.0424098371995553
749,-0.0543658424084947
750,-0.0665019622125021
751,-0.0787958071949765
752,-0.0912304478221142
753,-0.103785179170121
754,-0.116439913411172
755,-0.129177436633926
756,-0.141982839399313
757,-0.154843100144013
758,-0.167746821427316
759,NA
760,NA
761,NA
762,NA
763,NA
764,NA
765,NA
766,NA
767,NA
768,NA
769,0.145412574591062
770,0.136778852140106
771,0.128034946969829
772,0.119169454716446
773,0.110170785549498
774,0.101027345257991
775,0.0917278052268296
776,0.0822614492402984
777,0.0726184521579189
778,0.0627910742873701
